CMPD_CHEMBLID	CANONICAL_SMILES	PCHEMBL_VALUE	ASSAY_CHEMBLID
CHEMBL101311	CN(C)CC(O)COc1ccc(Nc2nccc(Nc3cc(Cl)ccc3Cl)n2)cc1	6.7	CHEMBL1963785
CHEMBL1081312	Nc1ncnc2c1c(nn2C3CCCC3)c4cnc5[nH]ccc5c4	7.8	CHEMBL1963785
CHEMBL1164180	CN1CCN(CC1)c2ccc(cn2)c3cnc4NCCN(Cc5cc(Cl)ccc5C(F)(F)F)c4c3	6.1	CHEMBL1963785
CHEMBL1164265	CN1CCN(CC1)c2ccc(cn2)c3cnc4NCCN(Cc5c(F)ccc(F)c5Cl)c4c3	7	CHEMBL1963785
CHEMBL1165511	Fc1ccc(cc1)C(Cl)Cn2ncc3c(Nc4cccc(F)c4)ncnc23	5.52	CHEMBL1166971
CHEMBL1221411	CN1C(=O)C(=Cc2cnc(Nc3cccc(NC(=O)CN)c3)nc12)c4c(Cl)cccc4Cl	10.7	CHEMBL1227835
CHEMBL1223343	CN1C(=O)C(=Cc2cnc(NCc3cccc(N)c3)nc12)c4c(Cl)cccc4Cl	8.1	CHEMBL1227835
CHEMBL1223344	CN1C(=O)C(=Cc2cnc(NCc3cccc(N)c3)nc12)c4ccccc4Cl	7.22	CHEMBL1227835
CHEMBL1223410	CN1C(=O)C(=Cc2cnc(NCc3cccc(N)c3)nc12)c4ccccc4	5.7	CHEMBL1227835
CHEMBL1223411	CN1C(=O)C(=Cc2cnc(NCc3cccc(N)c3)nc12)c4c(F)cccc4F	7.4	CHEMBL1227835
CHEMBL1223412	CN1C(=O)C(=Cc2cnc(NCc3cccc(N)c3)nc12)c4ccccc4Br	7.4	CHEMBL1227835
CHEMBL1223413	CSc1cccc(CNc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)c1	7.16	CHEMBL1227835
CHEMBL1223481	CCCCCCNc1cccc(CNc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)c1	6.05	CHEMBL1227835
CHEMBL1223482	CN1C(=O)C(=Cc2cnc(NCc3cccc(NC(=O)CN)c3)nc12)c4c(Cl)cccc4Cl	7.7	CHEMBL1227835
CHEMBL1223483	CN1C(=O)C(=Cc2cnc(NCc3cccc(c3)C(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@H]45)nc12)c6c(Cl)cccc6Cl	7.7	CHEMBL1227835
CHEMBL1241473	COc1cc(Nc2ncc(c(Nc3ccccc3C(=O)N)n2)[N+](=O)[O-])cc(OC)c1OC	6.9	CHEMBL1963785
CHEMBL1241489	CC(C)n1nc(c2ccc3ccccc3c2)c4c(N)ncnc14	7.16	CHEMBL2033711
CHEMBL1242754	CC(C)n1nc(c2cnc3ccccc3c2)c4c(N)ncnc14	5.8	CHEMBL2033711
CHEMBL1336	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1	6.8	CHEMBL1963785
CHEMBL1629808	CSc1nc(NCc2cccc(Br)c2)c3cnn(CC(Cl)c4ccccc4)c3n1	7.19	CHEMBL1837743
CHEMBL1773092	Fc1ccc(cc1)C(Cl)Cn2ncc3c(NCc4ccccn4)ncnc23	5.68	CHEMBL1776290
CHEMBL1775035	ClC(Cn1ncc2c(Nc3ccccc3)nc(SCCN4CCOCC4)nc12)c5ccccc5	6.82	CHEMBL1776290
CHEMBL1775036	ClC(Cn1ncc2c(Nc3cccc(Cl)c3)nc(SCCN4CCOCC4)nc12)c5ccccc5	6.75	CHEMBL3395760
CHEMBL1775037	ClC(Cn1ncc2c(NCCc3ccccc3)nc(SCCN4CCOCC4)nc12)c5ccccc5	6.57	CHEMBL1776290
CHEMBL1775038	Fc1ccc(CNc2nc(SCCN3CCOCC3)nc4c2cnn4CC(Cl)c5ccccc5)cc1	6.24	CHEMBL1776290
CHEMBL1775039	ClC(Cn1ncc2c(NCc3ccccc3)nc(SCCN4CCOCC4)nc12)c5ccccc5	7.05	CHEMBL1776290
CHEMBL1775040	CCCNc1nc(SCCN2CCOCC2)nc3c1cnn3CC(Cl)c4ccccc4	6.47	CHEMBL1776290
CHEMBL1775041	ClC(Cn1ncc2c(Nc3cccc(Cl)c3)nc(nc12)N4CCOCC4)c5ccccc5	6.41	CHEMBL1776290
CHEMBL1775042	OCCNc1nc(NCCc2ccccc2)c3cnn(\C=C/c4ccccc4)c3n1	6.66	CHEMBL1776290
CHEMBL1775043	CS(=O)(=O)c1nc(NCc2ccccc2)c3cnn(CC(Cl)c4ccccc4)c3n1	5.7	CHEMBL1776290
CHEMBL1775044	CCCNc1nc(nc2c1cnn2\C=C/c3ccccc3)S(=O)(=O)C	6.14	CHEMBL1776290
CHEMBL1775045	ClC(Cn1ncc2c(NCc3ccccn3)ncnc12)c4ccc(Cl)cc4	5.92	CHEMBL1776290
CHEMBL1775046	ClC(Cn1ncc2c(NCc3ccncc3)ncnc12)c4ccc(Cl)cc4	6.18	CHEMBL1776290
CHEMBL1775047	Fc1ccc(cc1)C(Cl)Cn2ncc3c(NCc4ccncc4)ncnc23	5.8	CHEMBL1776290
CHEMBL1785020	COc1ccc2cc(ccc2c1)c3nn(C(C)C)c4ncnc(N)c34	6.13	CHEMBL2033711
CHEMBL1785021	CCOc1ccc2cc(ccc2c1)c3nn(C(C)C)c4ncnc(N)c34	5.8	CHEMBL2033711
CHEMBL1825138	CC(Oc1cc(cnc1N)c2cnn(c2)C3CCNCC3)c4c(Cl)ccc(F)c4Cl	5.8	CHEMBL1963785
