BindingDB MonomerID	Ligand SMILES	IC50_Orexin2_nM
60732	Cc1cccc(C(=O)N2CCOC[C@H]2Cc2cccc(c2)-n2nccn2)c1-n1nccn1	784
154922	CSc1cccc(NC(=O)[C@@H]2CCCN2S(=O)(=O)c2ccc(Br)s2)c1	10
154923	FC(F)(F)Oc1cccc(NC(=O)[C@@H]2CCCN2S(=O)(=O)c2ccc(Br)s2)c1	104
154924	COc1cccc(c1)S(=O)(=O)N1CCC[C@H]1C(=O)Nc1cccc(SC)c1	8
154925	CCCc1ccc(cc1)S(=O)(=O)N1CCC[C@H]1C(=O)Nc1cccc(SC)c1	47
154926	CSc1cccc(NC(=O)[C@@H]2CCCN2S(=O)(=O)c2ccc3N(C)CCOc3c2)c1	27
154927	COc1ccc(cc1)S(=O)(=O)N1CCC[C@H]1C(=O)Nc1cccc(SC)c1	3
154928	CSc1cccc(NC(=O)[C@@H]2CCCN2S(=O)(=O)c2cccc(Cl)c2)c1	2
154929	CSc1cccc(NC(=O)[C@@H]2CCCN2S(=O)(=O)c2ccc(cc2)C(F)(F)F)c1	17
154930	CSc1cccc(NC(=O)[C@@H]2CCCN2S(=O)(=O)c2ccc(Cl)cc2)c1	9
154931	COc1ccc(cc1OC)S(=O)(=O)N1CCC[C@H]1C(=O)Nc1cccc(SC)c1	3
154932	CSc1cccc(NC(=O)[C@@H]2CCCN2S(=O)(=O)c2cccc(Br)c2)c1	2
154933	CSc1cccc(NC(=O)[C@@H]2CCCN2S(=O)(=O)c2ccc(C)c(Cl)c2)c1	3
154934	CSc1cccc(NC(=O)[C@@H]2CCCN2S(=O)(=O)c2ccc(Br)cc2)c1	10
154935	CSc1cccc(NC(=O)[C@@H]2CCCN2S(=O)(=O)c2ccc(Cl)c(Cl)c2)c1	2
154936	Brc1ccc(s1)S(=O)(=O)N1CCC[C@H]1C(=O)Nc1ccccc1	164
154937	COc1ccc(cc1)S(=O)(=O)N1CCC[C@H]1C(=O)Nc1cc(Cl)cc(Cl)c1	20
154938	COc1ccc(cc1)S(=O)(=O)N1CCC[C@H]1C(=O)Nc1cccc(c1)C(F)(F)F	9
154939	COc1ccc(cc1)S(=O)(=O)N1CCC[C@H]1C(=O)Nc1cccc(Cl)c1	31
