CMPD_CHEMBLID	CANONICAL_SMILES	PCHEMBL_VALUE	ASSAY_CHEMBLID
CHEMBL1000	OC(=O)COCCN1CCN(CC1)C(c2ccccc2)c3ccc(Cl)cc3	4.5	CHEMBL1676103
CHEMBL100415	CCCCN(Cc1cncn1Cc2ccc(cc2)C#N)[C@H]3CCN(Cc4ccccc4)C3=O	6.72	CHEMBL1027667
CHEMBL100454	CN1CCN(CC1)C2=Nc3ccccc3Nc4sc(CO)cc24	4.94	CHEMBL1036648
CHEMBL100566	O=C1[C@H](CCN1c2cccc3ncccc23)NCc4cncn4Cc5ccc(cc5)C#N	5.09	CHEMBL1027667
CHEMBL1008	CC(C)COCC(CN(Cc1ccccc1)c2ccccc2)N3CCCC3	6.26	CHEMBL656604
CHEMBL101740	CN(C)CC\C=C/1\c2ccccc2COc3ccccc13	5.19	CHEMBL1676103
CHEMBL104	Clc1ccccc1C(c2ccccc2)(c3ccccc3)n4ccnc4	5.52	CHEMBL1676103
CHEMBL1077638	CC(C)CN([C@H]1CCNC1)C(=O)c2cccc(c2Cl)C(F)(F)F	5.39	CHEMBL1112305
CHEMBL1077647	CC(C)CN([C@H]1CCNC1)C(=O)c2cc(Cl)ccc2Cl	4.7	CHEMBL1112305
CHEMBL1078162	CC(C)CN([C@H]1CCNC1)C(=O)c2cccc(Cl)c2C	4.28	CHEMBL1112305
CHEMBL1078169	CC(C)CN([C@H]1CCNC1)C(=O)c2ccccc2C(C)C	4.89	CHEMBL1112305
CHEMBL1078231	CCCC[C@H]1CN(CC2CCOCC2)C(=O)OC13CCN(CC3)C4(C)CCN(CC4)C(=O)c5c(C)ncnc5C	4.92	CHEMBL1114086
CHEMBL1078742	CC(C)CN([C@H]1CCNC1)C(=O)c2ccc(Cl)c(Cl)c2	4.76	CHEMBL1112305
CHEMBL1078983	COc1ccc(cc1CO)c2ccc3c(nc(nc3n2)N4C[C@@H](C)O[C@@H](C)C4)N5CCOCC5	5.08	CHEMBL2338825
CHEMBL1079264	Clc1cccc(C(=O)N([C@H]2CCNC2)c3ccccc3)c1Cl	5.1	CHEMBL1112305
CHEMBL1079313	CCOc1cc(CN2CCC(CC2)Nc3oc4ccc(cc4n3)S(=O)(=O)CC)ccc1OC	6.75	CHEMBL1113040
CHEMBL1079461	Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5cccc(Cl)c5)n2C	5.8	CHEMBL1107671
CHEMBL1079462	Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5ccc(F)cc5)n2C	5.7	CHEMBL1107671
CHEMBL1079475	Cn1c(SCCCN2C[C@@H]3C[C@@]3(C2)c4ccc(cc4)C(F)(F)F)nnc1c5cncnc5	5.5	CHEMBL1107671
CHEMBL1079480	Cc1cnc(cn1)c2nnc(SCCCN3C[C@@H]4C[C@@]4(C3)c5ccc(cc5)C(F)(F)F)n2C	6.1	CHEMBL1107671
CHEMBL1079481	Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5ccc(cc5)C(F)(F)F)n2C	6	CHEMBL1107671
CHEMBL1079494	COc1ccc(cc1Cl)C23CC2CN(CCCSc4nnc(c5ocnc5C)n4C)C3	5.4	CHEMBL1107671
CHEMBL1079497	Cc1ccc2c(cccc2n1)c3nnc(SCCCN4CC5CC5(C4)c6ccc(Br)cc6)n3C	6.9	CHEMBL1107671
CHEMBL1079577	Cc1ccc2c(cccc2n1)c3nnc(SCCCN4CC5CC5(C4)c6ccc(cc6)C#N)n3C	6.2	CHEMBL1107671
CHEMBL1079578	COc1ccc(cc1)C23CC2CN(CCCSc4nnc(c5cccc6nc(C)ccc56)n4C)C3	5.6	CHEMBL1107671
CHEMBL1079639	Cc1ccoc1c2nnc(SCCCN3C[C@@H]4C[C@@]4(C3)c5ccc(cc5)C(F)(F)F)n2C	6.7	CHEMBL1107671
CHEMBL1079640	Cc1ccc(cn1)c2nnc(SCCCN3C[C@@H]4C[C@@]4(C3)c5ccc(cc5)C(F)(F)F)n2C	6.1	CHEMBL1107671
CHEMBL1079667	Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5ccccc5)n2C	5.8	CHEMBL1107671
CHEMBL1079814	Cc1cc(ccc1C23CC2CN(CCCSc4nnc(c5ocnc5C)n4C)C3)C(F)(F)F	6.4	CHEMBL1107671
CHEMBL1079822	Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5ccc(cc5)C(C)(C)C)n2C	6.2	CHEMBL1107671
CHEMBL1079823	Cc1ncoc1c2nnc(SCCCN3C[C@H]4C[C@]4(C3)c5ccc(cc5)C(C)(C)C)n2C	6.4	CHEMBL1107671
CHEMBL1079824	Cc1ncoc1c2nnc(SCCCN3C[C@@H]4C[C@@]4(C3)c5ccc(cc5)C(C)(C)C)n2C	6	CHEMBL1107671
CHEMBL1079837	COc1ccc(cc1)C23CC2CN(CCCSc4nnc(c5ocnc5C)n4C)C3	5.6	CHEMBL1107671
CHEMBL1079938	Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5cccc(c5F)C(F)(F)F)n2C	5.4	CHEMBL1107671
CHEMBL1079980	Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5cccc(F)c5)n2C	5.7	CHEMBL1107671
CHEMBL1080046	CCCCc1ccc(cc1)S(=O)(=O)Nc2ccc3CCN(Cc4cc[nH]n4)CCc3c2	5.6	CHEMBL1109288
CHEMBL1080117	Cc1ccc2c(cccc2n1)c3nnc(SCCCN4CC5CC5(C4)c6ccc(Cl)cc6)n3C	5.7	CHEMBL1107671
CHEMBL1080126	Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5ccc(c(F)c5)C(F)(F)F)n2C	6.2	CHEMBL1107671
CHEMBL1080164	Cc1ccc2c(cccc2n1)c3nnc(SCCCN4C[C@H]5C[C@]5(C4)c6ccc(Br)cc6)n3C	6.3	CHEMBL1107671
CHEMBL1080165	Cc1ccc2c(cccc2n1)c3nnc(SCCCN4C[C@@H]5C[C@@]5(C4)c6ccc(Br)cc6)n3C	6.6	CHEMBL1107671
CHEMBL1080189	Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5ccccc5C(F)(F)F)n2C	5.2	CHEMBL1107671
CHEMBL1080293	Cc1ccc2c(cccc2n1)c3nnc(SCCCN4CC5CC5(C4)c6ccc(cc6)C(F)(F)F)n3C	6.8	CHEMBL1107671
CHEMBL1080489	COc1cccc(c1)C23CC2CN(CCCSc4nnc(c5ocnc5C)n4C)C3	5.2	CHEMBL1107671
CHEMBL1080490	Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5ccc(Cl)cc5)n2C	6.1	CHEMBL1107671
CHEMBL1080584	CCOc1cc(CN2CCC(CC2)Nc3oc4ccc(cc4n3)C(=O)N)cc(OCC)c1F	6.37	CHEMBL1113040
CHEMBL1080787	CC(C)CN([C@H]1CCNC1)C(=O)c2cccc(Cl)c2Cl	4.7	CHEMBL1112305
CHEMBL1080789	Clc1cccc(C(=O)N(CCC2CC2)[C@H]3CCNC3)c1Cl	5.15	CHEMBL1112305
CHEMBL1080790	CC(C)(C)CN([C@H]1CCNC1)C(=O)c2cccc(Cl)c2Cl	4.78	CHEMBL1112305
CHEMBL1080846	Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5ccc(Cl)c(Cl)c5)n2C	6	CHEMBL1107671
CHEMBL1080968	Clc1cccc(C(=O)N(C2CCCC2)[C@H]3CCNC3)c1Cl	4.99	CHEMBL1112305
CHEMBL1080969	CCC(CC)N([C@H]1CCNC1)C(=O)c2cccc(Cl)c2Cl	5.11	CHEMBL1112305
CHEMBL1081023	Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5ccc(cc5F)C(F)(F)F)n2C	6	CHEMBL1107671
CHEMBL1081203	Cc1ccc2c(cccc2n1)c3nnc(SCCCN4CC5CC5(C4)c6ccccc6)n3C	5.3	CHEMBL1107671
CHEMBL1081237	Cc1ccc2c(cccc2n1)c3nnc(SCCCN4CC5CC5(C4)c6ccc(Cl)c(Cl)c6)n3C	5.8	CHEMBL1107671
CHEMBL1081401	Cc1ccc2c(cccc2n1)c3nnc(SCCCN4CC5CC5(C4)c6ccc(cc6)C(C)(C)C)n3C	6.6	CHEMBL1107671
CHEMBL1081408	COc1ccc(cc1C(F)(F)F)C23CC2CN(CCCSc4nnc(c5ocnc5C)n4C)C3	5.9	CHEMBL1107671
CHEMBL1081409	Cc1ncoc1c2nnc(SCCCN3C[C@@H]4C[C@@]4(C3)c5ccc(cc5)C(F)(F)F)n2C	6.1	CHEMBL1107671
CHEMBL1081580	Cc1ncoc1c2nnc(SCCCN3C[C@H]4C[C@]4(C3)c5ccc(cc5)C(F)(F)F)n2C	6.2	CHEMBL1107671
CHEMBL1081587	Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5ccc(F)c(c5)C(F)(F)F)n2C	5.6	CHEMBL1107671
CHEMBL1081685	Cc1ccc2c(cccc2n1)c3nnc(SCCCN4C[C@@H]5C[C@@]5(C4)c6ccc(cc6)C(F)(F)F)n3C	6.3	CHEMBL1107671
CHEMBL1081686	Cn1c(SCCCN2C[C@@H]3C[C@@]3(C2)c4ccc(cc4)C(F)(F)F)nnc1c5ccccc5	6.2	CHEMBL1107671
CHEMBL1081687	Cc1ncccc1c2nnc(SCCCN3C[C@@H]4C[C@@]4(C3)c5ccc(cc5)C(F)(F)F)n2C	5.3	CHEMBL1107671
CHEMBL1081746	Cc1nc(C)c(s1)c2nnc(SCCCN3C[C@@H]4C[C@@]4(C3)c5ccc(cc5)C(F)(F)F)n2C	5.7	CHEMBL1107671
CHEMBL1081747	Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5ccc(Cl)cc5F)n2C	6	CHEMBL1107671
CHEMBL1081867	Cn1c(SCCCN2C[C@@H]3C[C@@]3(C2)c4ccc(cc4)C(F)(F)F)nnc1c5ccnnc5	5.4	CHEMBL1107671
CHEMBL1081868	Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5cc(F)cc(c5)C(F)(F)F)n2C	5.7	CHEMBL1107671
CHEMBL1081869	Cc1ccc(c(F)c1)C23CC2CN(CCCSc4nnc(c5ocnc5C)n4C)C3	4.4	CHEMBL1107671
CHEMBL1081934	Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5cccc(OC(F)(F)F)c5)n2C	6	CHEMBL1107671
